Province,Prefecture,AdministrativeDivisionCode,X_cssi_Pre,X_cssi_Pre+post
Anhui,Anqing,340800,61.3,60.45
Anhui,Bengbu,340300,37.63,46.5
Anhui,Bozhou,341600,-16.89,43.17
Anhui,Chaohu,341400,68.41,72.71
Anhui,Chuzhou,341100,56.61,61.02
Anhui,Fuyang,341200,-1.58,41.45
Anhui,Chizhou,341700,66.09,59.25
Anhui,Hefei,340100,57.57,62.43
Anhui,Huaibei,340600,3.65,46.38
Anhui,Huainan,340400,46.94,46.3
Anhui,Huangshan,341000,66.75,61.68
Anhui,Liu'an,341500,53.71,60.46
Anhui,Ma'anshan,340500,57.17,57.21
Anhui,Suzhou,341300,26.66,52.02
Anhui,Tongling,340700,46.37,51.86
Anhui,Wuhu,340200,64.81,62.9
Anhui,Xuancheng,341800,71.63,72.93
Beijing,Beijing,110000,28.13,10.25
Sichuan,Chongqing,511000,58.46,63.7
Fujian,Fuzhou,350100,37.75,28.08
Fujian,Longyan,350800,45.56,40.98
Fujian,Nanping,350700,42.21,37.84
Fujian,Ningde,350900,44.1,28.84
Fujian,Putian,350300,38.45,25.78
Fujian,Quanzhou,350500,40.01,34.07
Fujian,Sanming,350400,29.78,34.09
Fujian,Xiamen,350200,29.62,25.31
Fujian,Zhangzhou,350600,35.48,27.35
Gansu,Baiyin,620400,40.55,39.77
Gansu,Dingxi,622400,30.01,44.2
Gansu,Gannan Tibetan,623000,48.47,50.57
Gansu,Jiayuguan,620200,45.99,49.6
Gansu,Jinchang,620300,34.72,51.46
Gansu,Jiuquan,622100,41.73,45.14
Gansu,Lanzhou,620100,35.29,33.84
Gansu,Linxia Hui,622900,7.28,36.01
Gansu,Pingliang,622700,32.4,47.22
Gansu,Qingyang,622800,27.42,34.95
Gansu,Tianshui,620500,39.92,47.86
Gansu,Longnan,622600,35.2,50.46
Gansu,Wuwei,622300,35.07,39.76
Gansu,Zhangye,622200,33.4,43.27
Guangdong,Chaozhou,445100,46.81,33.74
Guangdong,Dongguan,441900,26.38,50.43
Guangdong,Foshan,440600,33.38,41.91
Guangdong,Guangzhou,440100,36.99,28.76
Guangdong,Haikou,460100,24.16,32.07
Guangdong,Hainan,460000,26.85,26.76
Guangdong,Heyuan,441600,42.34,29.66
Guangdong,Huizhou,441300,33.15,34.75
Guangdong,Jiangmen,440700,37.28,26.08
Guangdong,Jieyang,445200,38.48,24.43
Guangdong,Maoming,440900,28.9,22.43
Guangdong,Meizhou,441400,40.4,24.76
Guangdong,Qingyuan,441800,46.1,35.04
Guangdong,Sanya,460200,11.21,29.17
Guangdong,Shantou,440500,34.3,21.27
Guangdong,Shanwei,441500,44.65,31.05
Guangdong,Shaoguan,440200,32.3,31.25
Guangdong,Shenzhen,440300,25.25,48.62
Guangdong,Yangjiang,441700,30.32,30.55
Guangdong,Yunfu,445300,38.77,31.33
Guangdong,Zhanjiang,440800,29.27,18.4
Guangdong,Zhaoqing,441200,41.27,37.55
Guangdong,Zhongshan,442000,34.37,40.71
Guangdong,Zhuhai,440400,31.94,34.23
Guangxi,Baise,452600,46.27,44.08
Guangxi,Beihai,450500,35.26,28.05
Guangxi,Chongzuo,451400,40.5,44.9
Guangxi,Fangchenggang,450600,29.36,32.36
Guangxi,Guigang,450800,43.85,43.58
Guangxi,Guilin,450300,54.99,49.18
Guangxi,Hechi,452700,34.6,38.08
Guangxi,Hezhou,452400,30.99,44.19
Guangxi,Laibin,451300,40.5,44.9
Guangxi,Liuzhou,450200,27.84,33.23
Guangxi,Liuzhou2,452200,45.21,47.2
Guangxi,Nanning,450100,33.38,31.33
Guangxi,Nanning2,452100,34.02,39.76
Guangxi,Qinzhou,450700,31.71,27.89
Guangxi,Wuzhou,450400,46.97,47.35
Guangxi,Yulin,450900,46.69,41.85
Guizhou,Anshun,520400,48.59,44.1
Guizhou,Bijie,522400,58.79,50.72
Guizhou,Guiyang,520100,46.75,40.79
Guizhou,Liupanshui,520200,46.47,39.85
Guizhou,Qiandongnan Miao and Dong,522600,49.1,52.94
