Birthyear,Beijing,Tianjin,Hebei,Shanxi,Inner.Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
1950,1265,1344,9192,3697,2161,6218,3550,3686,2420,9180,5711,6341,3170,3770,12952,11779,5754,7636,7555,4808,13563,3100,3397,206,3900,2781,427,517,1890
1951,1372,1412,9360,3637,2270,6441,3505,3839,2597,9731,6065,6799,3175,3913,13592,11097,6296,7209,7319,3961,13979,2835,3178,174,4038,2601,386,438,681
1952,1597,1608,10583,4047,2570,7021,4168,4349,3112,11635,6656,8482,3970,4733,15154,13155,7653,9400,8624,5296,18977,4065,4389,217,4678,3135,486,565,1189
1953,1749,1642,10474,4255,2802,7142,3952,4391,3147,11158,7046,7467,3946,4828,15067,12832,7289,8538,8945,5258,17872,3964,4402,184,4600,2945,457,508,1002
1954,1838,1821,11404,4528,3014,8360,4477,5037,3604,12768,7705,8272,4361,5059,15158,13623,8554,9358,9756,5679,18491,4172,4988,204,5008,3024,460,594,1072
1955,1946,1923,11367,4659,3348,8661,4414,5178,3148,12101,7471,7275,4203,4796,15943,13171,7582,8344,9681,5095,17490,4219,4883,208,5179,3233,513,572,1697
1956,2021,1676,11297,4645,3249,8173,4304,5093,3128,11786,7786,7129,4037,4893,15502,12111,7668,8977,9424,5184,15589,3577,4656,202,4878,3115,465,550,1181
1957,2190,1943,10905,4982,3443,8358,4446,5349,3712,12266,8176,6585,4969,5666,16206,12662,9544,9541,10992,5816,15192,3974,4961,211,5280,3133,486,558,1210
1958,2113,1841,10649,4691,3257,8322,4442,5481,3156,10306,6907,4856,4301,5074,13487,10727,7945,7500,10191,5916,13472,3450,4101,247,5226,2784,457,488,1620
1959,1951,1492,8530,4088,3166,6476,3640,4761,2697,7777,5932,2805,3696,4172,9887,7830,6013,5552,8391,3426,8001,2386,3282,255,4403,1935,329,357,1214
1960,2087,1589,8717,4523,3655,7751,4718,5933,2676,7820,6322,3700,3568,4443,10764,8593,4325,5677,7241,4202,7319,2440,4039,297,5140,2488,361,484,2469
1961,1556,1212,6159,3448,2711,4097,3477,4835,2114,7625,4833,5151,2588,3538,10227,8027,7146,3928,7661,3339,6618,2001,3516,311,4043,2241,335,320,1266
1962,2313,1908,11331,6008,4373,8497,5305,6792,2663,13371,9485,12646,5555,6359,17420,16744,11798,12139,13553,7579,15214,5169,7120,360,6301,4797,845,875,2432
1963,2862,2459,15687,6549,5158,11697,6321,8209,3014,16128,10848,12606,6726,7284,21199,20471,12520,15023,13897,8721,26738,6398,7930,389,7169,5259,942,1030,2376
1964,2136,1635,12881,5978,4592,9390,5597,7420,2050,13711,9267,11776,5418,6626,17481,16420,10756,12695,12818,7954,22994,6286,7662,363,6105,4987,929,903,2700
1965,1576,1432,13100,5768,4414,8592,5437,7398,1809,14858,9383,12746,5862,6922,18208,17720,10030,12783,12844,8296,22567,6277,7817,372,5929,5150,920,895,3140
1966,1398,1262,12167,5644,4281,7656,5229,6909,1596,14735,8823,12813,5659,7251,18571,18845,10821,12740,11994,8146,23191,6342,7824,331,6356,5652,937,935,2667
1967,1338,1114,10948,5239,3990,6650,5108,6450,1315,12839,7764,11861,5202,6698,16287,16841,9163,11242,11500,6906,19993,5534,6915,362,5820,4743,854,804,2514
1968,1858,1574,13175,6461,5135,8469,6122,8127,1689,16414,8736,14900,6482,8280,19891,21460,12588,15904,14000,9123,26391,7684,8902,417,7449,6493,1088,1092,3314
1969,1649,1311,11900,5706,4417,7421,5566,7064,1684,14590,8730,12766,5931,6944,18339,17843,10624,12696,12165,7653,23143,6403,7847,414,6432,5416,942,987,2938
1970,1563,1466,13713,6382,5275,8233,6257,7700,1586,15091,8394,14464,6066,7590,20964,20545,11103,13623,13459,8244,26120,7531,8398,449,7000,6373,1010,1129,4177
